id,product_name,sale_amount,sale_date,total_sales,sale_year
103,section,326.62,2024-01-18,2537040.56,2024
104,among,62.12,2024-01-17,2537040.56,2024
105,author,281.88,2023-12-27,2537040.56,2023
106,personal,141.28,2024-11-02,2537040.56,2024
107,property,271.45,2024-01-17,2537040.56,2024
108,large,404.51,2024-10-10,2537040.56,2024
109,term,149.3,2024-04-24,2537040.56,2024
110,no,120.62,2024-04-07,2537040.56,2024
111,woman,387.97,2024-08-09,2537040.56,2024
112,police,71.1,2024-11-28,2537040.56,2024
113,staff,451.93,2024-12-15,2537040.56,2024
114,air,109.11,2024-09-25,2537040.56,2024
115,anyone,220.75,2024-03-02,2537040.56,2024
116,hard,82.97,2024-07-17,2537040.56,2024
117,parent,480.54,2024-01-07,2537040.56,2024
118,sign,480.66,2024-02-15,2537040.56,2024
119,better,180.23,2024-08-22,2537040.56,2024
120,nothing,406.73,2024-07-16,2537040.56,2024
121,Republican,12.73,2024-08-27,2537040.56,2024
122,newspaper,211.37,2024-05-27,2537040.56,2024
123,property,120.6,2024-04-12,2537040.56,2024
124,market,279.86,2024-08-09,2537040.56,2024
125,dream,247.92,2024-06-07,2537040.56,2024
126,meeting,124.17,2024-01-27,2537040.56,2024
127,without,370.9,2024-10-08,2537040.56,2024
128,interview,326.05,2024-04-10,2537040.56,2024
129,full,468.81,2024-01-05,2537040.56,2024
130,room,278.08,2024-05-19,2537040.56,2024
131,say,380.88,2024-07-31,2537040.56,2024
132,subject,271.61,2024-02-29,2537040.56,2024
133,simply,137.56,2024-08-11,2537040.56,2024
134,whose,39.51,2024-12-14,2537040.56,2024
135,talk,336.02,2024-03-30,2537040.56,2024
136,team,441.49,2024-10-02,2537040.56,2024
137,lead,399.86,2024-06-14,2537040.56,2024
138,deal,184.82,2024-02-09,2537040.56,2024
139,hospital,196.04,2024-01-04,2537040.56,2024
140,man,232.58,2024-02-25,2537040.56,2024
141,today,18.23,2024-11-07,2537040.56,2024
142,former,135.71,2024-11-09,2537040.56,2024
143,between,337.3,2024-07-17,2537040.56,2024
144,recent,344.74,2024-02-02,2537040.56,2024
145,many,79.94,2024-11-16,2537040.56,2024
146,cultural,164.68,2023-12-30,2537040.56,2023
147,we,394.98,2024-09-01,2537040.56,2024
148,discuss,192.54,2024-08-19,2537040.56,2024
149,establish,248.86,2024-11-05,2537040.56,2024
150,court,473.31,2024-07-30,2537040.56,2024
151,require,396.29,2024-04-19,2537040.56,2024
152,morning,211.38,2024-06-12,2537040.56,2024
153,imagine,238.64,2024-02-12,2537040.56,2024
154,hear,124.83,2024-12-02,2537040.56,2024
155,hope,345.87,2024-01-15,2537040.56,2024
156,significant,415.1,2024-03-14,2537040.56,2024
157,edge,457.57,2024-11-21,2537040.56,2024
158,often,231.19,2024-02-07,2537040.56,2024
159,beautiful,49.33,2024-02-13,2537040.56,2024
160,tough,291.13,2024-01-13,2537040.56,2024
161,enjoy,293.04,2024-03-13,2537040.56,2024
162,course,365.27,2024-08-16,2537040.56,2024
163,them,328.59,2024-03-21,2537040.56,2024
164,ask,272.31,2024-08-17,2537040.56,2024
165,listen,72.37,2024-07-29,2537040.56,2024
166,form,126.26,2024-06-09,2537040.56,2024
167,right,285.71,2024-01-23,2537040.56,2024
168,write,334.09,2024-02-24,2537040.56,2024
169,should,270.41,2024-09-25,2537040.56,2024
170,chance,54.23,2024-06-24,2537040.56,2024
171,involve,391.65,2024-08-24,2537040.56,2024
172,him,69.97,2024-03-07,2537040.56,2024
173,small,250.94,2024-09-22,2537040.56,2024
174,act,410.56,2024-08-25,2537040.56,2024
175,true,145.85,2024-05-10,2537040.56,2024
176,debate,93.78,2024-05-27,2537040.56,2024
177,about,294.31,2024-02-14,2537040.56,2024
178,race,186.48,2024-09-24,2537040.56,2024
179,nothing,72.87,2024-03-03,2537040.56,2024
180,low,135.97,2024-02-18,2537040.56,2024
181,put,461.28,2024-05-14,2537040.56,2024
182,cause,493.56,2024-07-28,2537040.56,2024
183,issue,366.38,2024-09-09,2537040.56,2024
184,admit,208.23,2024-10-16,2537040.56,2024
185,tax,478.44,2024-12-01,2537040.56,2024
186,final,48.18,2024-08-06,2537040.56,2024
187,build,459.11,2024-03-16,2537040.56,2024
188,role,305.65,2024-09-11,2537040.56,2024
189,light,124.91,2024-08-16,2537040.56,2024
190,use,385.52,2024-07-15,2537040.56,2024
191,letter,175.07,2024-12-01,2537040.56,2024
192,money,252.75,2024-07-24,2537040.56,2024
193,physical,466.68,2024-11-23,2537040.56,2024
194,despite,264.43,2024-07-03,2537040.56,2024
195,small,391.62,2024-07-06,2537040.56,2024
196,everyone,88.0,2024-04-26,2537040.56,2024
197,sing,481.21,2024-02-12,2537040.56,2024
198,I,312.55,2024-03-28,2537040.56,2024
199,condition,220.29,2023-12-24,2537040.56,2023
200,key,91.01,2024-01-21,2537040.56,2024
201,those,450.88,2024-05-15,2537040.56,2024
202,front,136.27,2024-08-16,2537040.56,2024
203,total,358.46,2024-05-05,2537040.56,2024
204,draw,112.11,2024-03-14,2537040.56,2024
205,sound,79.88,2024-02-29,2537040.56,2024
206,project,225.32,2024-12-16,2537040.56,2024
207,number,398.47,2024-11-03,2537040.56,2024
208,agree,77.89,2024-08-27,2537040.56,2024
209,let,395.01,2024-06-18,2537040.56,2024
210,fund,380.73,2024-09-24,2537040.56,2024
211,power,80.14,2024-10-18,2537040.56,2024
212,throw,37.5,2024-12-02,2537040.56,2024
213,rule,342.86,2024-06-15,2537040.56,2024
214,science,82.6,2024-05-29,2537040.56,2024
215,of,55.32,2024-03-14,2537040.56,2024
216,mean,252.23,2024-10-04,2537040.56,2024
217,open,140.45,2024-05-14,2537040.56,2024
218,quality,296.47,2024-01-14,2537040.56,2024
219,dog,442.2,2024-08-28,2537040.56,2024
220,campaign,40.46,2023-12-30,2537040.56,2023
221,authority,343.21,2024-08-31,2537040.56,2024
222,national,24.43,2024-12-21,2537040.56,2024
223,debate,439.41,2024-03-26,2537040.56,2024
224,black,32.43,2024-08-12,2537040.56,2024
225,result,202.16,2024-10-14,2537040.56,2024
226,pretty,190.54,2024-09-30,2537040.56,2024
227,home,170.65,2024-03-05,2537040.56,2024
228,because,403.25,2024-10-21,2537040.56,2024
229,team,151.91,2024-08-13,2537040.56,2024
230,today,300.0,2024-10-01,2537040.56,2024
231,where,386.9,2024-08-07,2537040.56,2024
232,attorney,365.36,2024-07-22,2537040.56,2024
233,need,418.14,2024-11-22,2537040.56,2024
234,cause,227.1,2024-02-17,2537040.56,2024
235,image,216.47,2024-03-14,2537040.56,2024
236,suffer,278.07,2024-06-26,2537040.56,2024
237,produce,82.62,2024-08-01,2537040.56,2024
238,respond,29.31,2024-07-25,2537040.56,2024
239,executive,366.4,2024-02-14,2537040.56,2024
240,civil,37.97,2024-12-10,2537040.56,2024
241,involve,497.25,2024-04-01,2537040.56,2024
242,sell,332.76,2024-07-26,2537040.56,2024
243,not,270.13,2024-02-12,2537040.56,2024
244,tell,161.44,2024-10-01,2537040.56,2024
245,himself,124.47,2024-08-13,2537040.56,2024
246,sure,329.23,2024-08-17,2537040.56,2024
247,degree,195.65,2024-06-18,2537040.56,2024
248,cut,241.97,2024-02-08,2537040.56,2024
249,ten,454.52,2024-06-20,2537040.56,2024
250,camera,202.76,2024-06-03,2537040.56,2024
251,may,284.88,2024-01-06,2537040.56,2024
252,support,174.86,2024-05-07,2537040.56,2024
253,reduce,57.59,2024-03-15,2537040.56,2024
254,song,293.4,2024-05-25,2537040.56,2024
255,kind,129.46,2024-11-11,2537040.56,2024
256,American,11.63,2024-05-19,2537040.56,2024
257,cold,303.62,2024-07-13,2537040.56,2024
258,very,483.59,2024-04-06,2537040.56,2024
259,serious,65.95,2024-11-20,2537040.56,2024
260,event,69.78,2024-07-27,2537040.56,2024
261,your,144.48,2024-08-31,2537040.56,2024
262,our,479.9,2024-04-28,2537040.56,2024
263,us,237.05,2024-11-29,2537040.56,2024
264,network,298.73,2024-07-09,2537040.56,2024
265,structure,444.74,2024-10-06,2537040.56,2024
266,call,223.43,2024-03-16,2537040.56,2024
267,political,156.72,2024-12-03,2537040.56,2024
268,turn,99.69,2024-10-15,2537040.56,2024
269,respond,382.72,2024-11-03,2537040.56,2024
270,mouth,242.1,2024-06-16,2537040.56,2024
271,guy,189.52,2024-11-11,2537040.56,2024
272,establish,76.75,2024-09-10,2537040.56,2024
273,argue,14.86,2024-06-07,2537040.56,2024
274,develop,370.62,2024-05-26,2537040.56,2024
275,Mr,155.25,2024-06-16,2537040.56,2024
276,especially,346.97,2024-09-09,2537040.56,2024
277,health,454.13,2024-01-28,2537040.56,2024
278,official,248.75,2024-04-06,2537040.56,2024
279,other,242.53,2024-12-17,2537040.56,2024
280,I,396.45,2024-11-04,2537040.56,2024
281,have,428.94,2024-04-07,2537040.56,2024
282,soon,96.4,2024-10-21,2537040.56,2024
283,of,71.59,2024-07-22,2537040.56,2024
284,whether,333.28,2024-04-28,2537040.56,2024
285,popular,180.83,2024-01-13,2537040.56,2024
286,opportunity,299.51,2024-03-30,2537040.56,2024
287,condition,77.58,2024-01-04,2537040.56,2024
288,southern,279.4,2024-10-26,2537040.56,2024
289,nearly,273.82,2024-04-24,2537040.56,2024
290,per,317.57,2024-09-29,2537040.56,2024
291,clear,269.66,2024-08-13,2537040.56,2024
292,performance,435.54,2024-09-05,2537040.56,2024
293,both,407.8,2024-12-09,2537040.56,2024
294,hospital,412.33,2024-02-04,2537040.56,2024
295,church,100.33,2024-01-29,2537040.56,2024
296,skin,347.24,2024-11-18,2537040.56,2024
297,along,167.76,2024-04-29,2537040.56,2024
298,decade,334.79,2024-02-05,2537040.56,2024
299,against,253.66,2024-07-08,2537040.56,2024
300,necessary,372.85,2024-07-04,2537040.56,2024
301,send,58.59,2024-08-21,2537040.56,2024
302,think,471.55,2024-07-14,2537040.56,2024
303,safe,76.78,2024-08-19,2537040.56,2024
304,station,244.66,2024-07-20,2537040.56,2024
305,their,21.73,2024-02-19,2537040.56,2024
306,it,319.72,2024-03-16,2537040.56,2024
307,drop,363.07,2024-04-13,2537040.56,2024
308,other,295.69,2024-12-09,2537040.56,2024
309,happen,176.84,2024-08-18,2537040.56,2024
310,per,362.06,2024-05-06,2537040.56,2024
311,administration,109.01,2024-06-26,2537040.56,2024
312,food,90.77,2024-12-06,2537040.56,2024
313,religious,88.88,2024-07-09,2537040.56,2024
314,ten,67.5,2024-01-03,2537040.56,2024
315,mean,482.57,2024-07-13,2537040.56,2024
316,prepare,467.16,2024-04-23,2537040.56,2024
317,forward,219.78,2024-03-17,2537040.56,2024
318,still,278.28,2024-04-05,2537040.56,2024
319,country,462.03,2024-08-28,2537040.56,2024
320,friend,126.71,2024-12-08,2537040.56,2024
321,social,222.58,2024-10-06,2537040.56,2024
322,prove,407.76,2024-05-21,2537040.56,2024
323,year,266.7,2023-12-23,2537040.56,2023
324,audience,212.8,2024-05-04,2537040.56,2024
325,base,273.76,2024-08-26,2537040.56,2024
326,participant,440.76,2024-02-18,2537040.56,2024
327,front,493.81,2024-02-01,2537040.56,2024
328,table,223.4,2024-12-11,2537040.56,2024
329,happy,208.12,2024-09-20,2537040.56,2024
330,shoulder,34.53,2024-10-07,2537040.56,2024
331,laugh,19.8,2024-03-08,2537040.56,2024
332,game,226.08,2024-01-08,2537040.56,2024
333,group,131.93,2023-12-23,2537040.56,2023
334,big,318.39,2024-05-24,2537040.56,2024
335,plant,426.88,2024-06-30,2537040.56,2024
336,indicate,478.29,2024-12-06,2537040.56,2024
337,do,292.31,2024-03-05,2537040.56,2024
338,upon,283.11,2024-06-04,2537040.56,2024
339,rock,234.19,2024-10-14,2537040.56,2024
340,line,230.59,2024-08-18,2537040.56,2024
341,natural,454.25,2024-11-27,2537040.56,2024
342,wear,458.06,2024-07-15,2537040.56,2024
343,step,28.58,2024-05-05,2537040.56,2024
344,already,157.82,2024-06-12,2537040.56,2024
345,watch,213.74,2024-10-26,2537040.56,2024
346,want,104.55,2024-12-04,2537040.56,2024
347,former,486.85,2024-06-25,2537040.56,2024
348,blue,188.7,2024-12-17,2537040.56,2024
349,oil,118.36,2024-10-18,2537040.56,2024
350,main,245.43,2024-06-29,2537040.56,2024
351,really,188.44,2024-10-22,2537040.56,2024
352,base,406.73,2024-07-16,2537040.56,2024
353,thing,151.73,2024-09-23,2537040.56,2024
354,region,489.8,2024-03-01,2537040.56,2024
355,past,196.1,2024-01-20,2537040.56,2024
356,add,217.02,2024-02-15,2537040.56,2024
357,less,277.01,2024-08-13,2537040.56,2024
358,where,379.1,2024-12-13,2537040.56,2024
359,same,48.98,2024-01-07,2537040.56,2024
360,middle,356.46,2024-06-10,2537040.56,2024
361,tonight,246.74,2024-04-28,2537040.56,2024
362,local,236.95,2024-07-28,2537040.56,2024
363,every,324.17,2023-12-29,2537040.56,2023
364,industry,17.41,2024-01-03,2537040.56,2024
365,discuss,105.29,2024-05-15,2537040.56,2024
366,draw,258.94,2024-10-10,2537040.56,2024
367,among,175.85,2024-01-31,2537040.56,2024
368,herself,391.25,2024-11-27,2537040.56,2024
369,character,256.76,2024-10-14,2537040.56,2024
370,my,280.66,2024-08-11,2537040.56,2024
371,avoid,59.74,2024-09-30,2537040.56,2024
372,since,283.72,2024-01-19,2537040.56,2024
373,success,262.42,2024-02-09,2537040.56,2024
374,including,473.39,2024-05-29,2537040.56,2024
375,why,106.04,2024-08-24,2537040.56,2024
376,street,289.28,2024-05-15,2537040.56,2024
377,enjoy,292.43,2024-09-10,2537040.56,2024
378,art,466.01,2024-01-23,2537040.56,2024
379,Democrat,90.34,2024-02-09,2537040.56,2024
380,see,294.98,2024-06-28,2537040.56,2024
381,protect,18.0,2023-12-25,2537040.56,2023
382,light,351.06,2024-01-28,2537040.56,2024
383,road,128.62,2024-01-19,2537040.56,2024
384,campaign,422.02,2023-12-26,2537040.56,2023
385,resource,201.0,2024-01-05,2537040.56,2024
386,everyone,35.88,2024-09-09,2537040.56,2024
387,will,327.22,2024-08-16,2537040.56,2024
388,left,203.89,2024-04-20,2537040.56,2024
389,stop,472.62,2024-11-03,2537040.56,2024
390,deep,339.65,2024-08-12,2537040.56,2024
391,arm,140.52,2024-11-11,2537040.56,2024
392,common,335.67,2024-09-29,2537040.56,2024
393,full,423.01,2024-06-06,2537040.56,2024
394,cup,439.3,2024-02-10,2537040.56,2024
395,feel,282.92,2024-10-27,2537040.56,2024
396,early,351.84,2024-10-15,2537040.56,2024
397,few,127.63,2024-05-11,2537040.56,2024
398,loss,334.43,2024-01-10,2537040.56,2024
399,describe,304.84,2024-10-09,2537040.56,2024
400,send,155.88,2024-03-17,2537040.56,2024
401,perform,82.39,2024-07-29,2537040.56,2024
402,dark,140.36,2024-07-22,2537040.56,2024
403,somebody,381.35,2024-02-24,2537040.56,2024
404,west,417.07,2024-08-01,2537040.56,2024
405,eye,137.45,2024-04-14,2537040.56,2024
406,as,290.58,2024-08-27,2537040.56,2024
407,simply,254.74,2024-09-03,2537040.56,2024
408,hard,339.82,2024-04-18,2537040.56,2024
409,point,309.1,2024-06-28,2537040.56,2024
410,end,264.99,2024-05-08,2537040.56,2024
411,daughter,355.92,2024-03-23,2537040.56,2024
412,season,351.2,2024-08-23,2537040.56,2024
413,rich,27.51,2024-07-01,2537040.56,2024
414,situation,482.51,2024-05-26,2537040.56,2024
415,east,300.37,2024-09-19,2537040.56,2024
416,meeting,156.97,2024-04-05,2537040.56,2024
417,in,183.53,2024-06-24,2537040.56,2024
418,else,259.32,2024-12-22,2537040.56,2024
419,alone,487.43,2024-10-18,2537040.56,2024
420,page,239.1,2024-12-09,2537040.56,2024
421,positive,143.47,2024-02-02,2537040.56,2024
422,commercial,143.52,2024-06-03,2537040.56,2024
423,everything,448.71,2024-01-21,2537040.56,2024
424,instead,148.45,2023-12-23,2537040.56,2023
425,during,148.57,2024-03-22,2537040.56,2024
426,fund,330.43,2024-10-28,2537040.56,2024
427,day,383.55,2024-01-13,2537040.56,2024
428,despite,165.04,2024-09-10,2537040.56,2024
429,whatever,239.52,2024-09-24,2537040.56,2024
430,employee,264.53,2024-03-20,2537040.56,2024
431,man,444.86,2024-05-28,2537040.56,2024
432,nice,60.4,2024-03-14,2537040.56,2024
433,so,214.99,2024-02-08,2537040.56,2024
434,upon,279.18,2024-03-05,2537040.56,2024
435,feeling,458.31,2024-08-19,2537040.56,2024
436,agent,396.67,2024-04-21,2537040.56,2024
437,blood,35.53,2024-04-22,2537040.56,2024
438,agency,301.85,2024-04-11,2537040.56,2024
439,region,255.93,2024-06-16,2537040.56,2024
440,fast,90.44,2024-12-15,2537040.56,2024
441,smile,128.15,2024-05-10,2537040.56,2024
442,performance,250.36,2024-03-27,2537040.56,2024
443,matter,298.16,2024-10-11,2537040.56,2024
444,maintain,482.07,2024-11-26,2537040.56,2024
445,weight,256.85,2024-06-24,2537040.56,2024
446,property,212.47,2024-08-28,2537040.56,2024
447,imagine,296.52,2023-12-27,2537040.56,2023
448,us,20.07,2024-01-30,2537040.56,2024
449,get,412.94,2024-04-06,2537040.56,2024
450,fine,118.84,2024-05-14,2537040.56,2024
451,head,235.27,2024-04-03,2537040.56,2024
452,candidate,335.2,2024-04-05,2537040.56,2024
453,matter,467.54,2024-04-26,2537040.56,2024
454,financial,375.49,2024-06-23,2537040.56,2024
455,talk,480.05,2024-10-04,2537040.56,2024
456,provide,497.06,2024-02-12,2537040.56,2024
457,teach,321.82,2024-04-02,2537040.56,2024
458,majority,245.56,2024-11-16,2537040.56,2024
459,everything,424.58,2024-01-15,2537040.56,2024
460,inside,206.33,2024-12-11,2537040.56,2024
461,effect,66.44,2024-01-08,2537040.56,2024
462,suddenly,249.39,2024-10-02,2537040.56,2024
463,catch,260.28,2024-07-19,2537040.56,2024
464,cut,388.09,2024-09-09,2537040.56,2024
465,beautiful,445.21,2024-05-22,2537040.56,2024
466,prevent,63.68,2024-01-27,2537040.56,2024
467,mean,369.21,2024-02-19,2537040.56,2024
468,movement,170.84,2024-09-03,2537040.56,2024
469,hand,394.36,2024-06-18,2537040.56,2024
470,draw,223.73,2024-10-17,2537040.56,2024
471,any,40.79,2024-06-14,2537040.56,2024
472,prevent,231.5,2024-08-08,2537040.56,2024
473,whole,86.38,2024-02-11,2537040.56,2024
474,computer,482.27,2024-06-20,2537040.56,2024
475,look,92.52,2024-01-25,2537040.56,2024
476,learn,436.41,2024-02-29,2537040.56,2024
477,face,214.94,2024-02-21,2537040.56,2024
478,political,53.91,2024-07-28,2537040.56,2024
479,know,389.69,2024-08-17,2537040.56,2024
480,heart,199.25,2024-10-23,2537040.56,2024
481,administration,195.58,2024-04-24,2537040.56,2024
482,large,200.71,2024-02-12,2537040.56,2024
483,central,230.23,2024-01-20,2537040.56,2024
484,marriage,232.8,2024-07-29,2537040.56,2024
485,difficult,280.04,2024-06-19,2537040.56,2024
486,different,358.82,2024-05-28,2537040.56,2024
487,world,192.36,2024-02-20,2537040.56,2024
488,big,304.71,2024-07-13,2537040.56,2024
489,appear,261.81,2024-07-02,2537040.56,2024
490,go,46.57,2024-02-05,2537040.56,2024
491,miss,19.09,2024-04-19,2537040.56,2024
492,design,355.01,2024-03-10,2537040.56,2024
493,experience,23.27,2024-02-28,2537040.56,2024
494,almost,63.65,2024-11-24,2537040.56,2024
495,eye,54.09,2024-06-17,2537040.56,2024
496,sell,219.62,2024-05-06,2537040.56,2024
497,bring,251.48,2024-10-14,2537040.56,2024
498,free,366.51,2024-07-07,2537040.56,2024
499,idea,149.07,2024-06-16,2537040.56,2024
500,able,147.22,2024-09-04,2537040.56,2024
501,body,437.84,2024-10-22,2537040.56,2024
502,home,40.72,2024-09-10,2537040.56,2024
503,son,380.23,2024-10-12,2537040.56,2024
504,cut,169.12,2024-01-03,2537040.56,2024
505,meeting,139.3,2024-06-19,2537040.56,2024
506,rich,357.72,2024-03-08,2537040.56,2024
507,action,321.45,2024-05-09,2537040.56,2024
508,court,357.06,2024-04-04,2537040.56,2024
509,save,177.23,2024-09-20,2537040.56,2024
510,it,274.58,2024-11-04,2537040.56,2024
511,like,71.91,2024-09-23,2537040.56,2024
512,simple,165.45,2024-07-27,2537040.56,2024
513,record,203.26,2024-09-22,2537040.56,2024
514,model,250.75,2024-02-22,2537040.56,2024
515,recent,439.1,2024-02-28,2537040.56,2024
516,benefit,188.91,2024-03-12,2537040.56,2024
517,offer,451.22,2024-05-05,2537040.56,2024
518,across,140.73,2024-04-22,2537040.56,2024
519,interview,215.34,2024-01-19,2537040.56,2024
520,player,94.86,2024-04-10,2537040.56,2024
521,program,99.49,2024-02-18,2537040.56,2024
522,join,477.89,2024-11-09,2537040.56,2024
523,social,139.74,2024-04-08,2537040.56,2024
524,entire,292.74,2024-05-05,2537040.56,2024
525,purpose,457.01,2024-06-02,2537040.56,2024
526,example,111.35,2024-04-23,2537040.56,2024
527,grow,371.02,2024-03-09,2537040.56,2024
528,forget,329.07,2024-08-26,2537040.56,2024
529,seem,295.73,2024-04-08,2537040.56,2024
530,television,429.4,2024-09-01,2537040.56,2024
531,American,466.07,2024-10-06,2537040.56,2024
532,green,161.31,2024-01-19,2537040.56,2024
533,many,10.67,2024-11-20,2537040.56,2024
534,item,235.59,2024-10-05,2537040.56,2024
535,second,76.38,2024-08-30,2537040.56,2024
536,young,349.58,2024-02-17,2537040.56,2024
537,fish,169.15,2024-08-28,2537040.56,2024
538,step,310.58,2024-01-16,2537040.56,2024
539,night,53.31,2024-08-11,2537040.56,2024
540,impact,60.77,2024-01-24,2537040.56,2024
541,wall,109.4,2024-01-02,2537040.56,2024
542,happen,487.88,2024-10-05,2537040.56,2024
543,difference,229.87,2024-11-03,2537040.56,2024
544,now,362.25,2024-05-04,2537040.56,2024
545,try,443.4,2024-01-10,2537040.56,2024
546,officer,287.27,2024-09-24,2537040.56,2024
547,standard,52.18,2024-07-12,2537040.56,2024
548,machine,120.8,2024-09-07,2537040.56,2024
549,technology,271.31,2024-08-10,2537040.56,2024
550,sure,289.24,2024-02-13,2537040.56,2024
551,fund,31.19,2024-03-24,2537040.56,2024
552,much,396.32,2024-01-08,2537040.56,2024
553,join,107.49,2024-08-19,2537040.56,2024
554,use,337.4,2024-06-09,2537040.56,2024
555,present,417.29,2024-12-14,2537040.56,2024
556,doctor,251.53,2024-07-03,2537040.56,2024
557,sign,337.29,2024-01-07,2537040.56,2024
558,character,201.83,2023-12-31,2537040.56,2023
559,miss,181.24,2024-01-17,2537040.56,2024
560,action,190.46,2023-12-29,2537040.56,2023
561,official,285.62,2024-03-13,2537040.56,2024
562,somebody,265.6,2024-12-11,2537040.56,2024
563,much,86.21,2024-01-11,2537040.56,2024
564,scientist,68.53,2024-03-16,2537040.56,2024
565,performance,218.26,2024-04-27,2537040.56,2024
